"age","gender","points","attitude","deep","surf","stra"
53,"F",25,3.7,3.58333333333333,2.58333333333333,3.375
55,"M",12,3.1,2.91666666666667,3.16666666666667,2.75
49,"F",24,2.5,3.5,2.25,3.625
53,"M",10,3.5,3.5,2.25,3.125
49,"M",22,3.7,3.66666666666667,2.83333333333333,3.625
38,"F",21,3.8,4.75,2.41666666666667,3.625
50,"M",21,3.5,3.83333333333333,1.91666666666667,2.25
37,"F",31,2.9,3.25,2.83333333333333,4
37,"M",24,3.8,4.33333333333333,2.16666666666667,4.25
42,"F",26,2.1,4,3,3.5
37,"M",31,3.9,3.58333333333333,2.66666666666667,3.625
34,"F",31,3.8,3.83333333333333,2.41666666666667,4.75
34,"F",23,2.4,4.25,2.25,3.625
34,"F",25,3,3.33333333333333,2.75,3.5
35,"M",21,2.6,4.16666666666667,2.33333333333333,1.75
33,"F",31,4.1,3.66666666666667,2.33333333333333,3.875
32,"F",20,2.6,4.08333333333333,2.91666666666667,1.375
44,"F",22,2.6,3.5,2.5,3.25
29,"M",9,1.7,4.08333333333333,3.75,3
30,"F",24,2.7,4,2.75,3.75
27,"M",28,3.9,3.91666666666667,2.33333333333333,2.625
29,"M",30,3.4,4,2.41666666666667,2.375
31,"F",24,2.7,4,3,3.625
37,"F",9,2.3,3.66666666666667,2.41666666666667,2.75
26,"F",26,3.7,3.66666666666667,2.83333333333333,1.75
26,"F",32,4.4,4.41666666666667,3.16666666666667,3.25
30,"M",32,4.1,3.91666666666667,3,4
33,"F",33,3.7,3.75,2,3.625
33,"F",29,2.5,3.25,3.5,2.875
28,"M",30,3,3.58333333333333,3.75,3
26,"M",19,3.4,4.91666666666667,2.5,1.625
27,"F",23,3.2,3.58333333333333,2.08333333333333,3.25
25,"F",19,2,2.91666666666667,2.41666666666667,3.5
31,"F",12,2.4,3.66666666666667,2.58333333333333,3
20,"M",10,4.2,4.5,1.58333333333333,3.25
39,"F",11,1.6,4.08333333333333,2.83333333333333,1.875
38,"M",20,3.1,3.83333333333333,1.83333333333333,4.375
24,"M",26,3.8,3.25,2.41666666666667,3.625
26,"M",31,3.8,2.33333333333333,3.25,2.5
25,"M",20,3.3,3.33333333333333,3.41666666666667,1.25
30,"F",23,1.7,4.08333333333333,3.41666666666667,4
25,"F",12,2.5,2.91666666666667,3.16666666666667,3
30,"M",24,3.2,3.33333333333333,3.5,2.5
48,"F",17,3.5,3.83333333333333,2.66666666666667,4.875
24,"F",29,3.2,3.66666666666667,2.41666666666667,5
40,"F",23,4.2,4.66666666666667,3.58333333333333,4.375
25,"M",28,3.1,3.75,2.08333333333333,3.25
23,"F",31,3.9,3.41666666666667,3.75,4
25,"F",23,1.9,4.16666666666667,2.91666666666667,3.125
23,"F",25,2.1,2.91666666666667,2.91666666666667,2.5
27,"M",18,2.5,4.16666666666667,2.41666666666667,3.125
25,"M",19,3.2,3.58333333333333,3,3.25
23,"M",22,3.2,2.83333333333333,3.41666666666667,2.125
23,"F",25,2.6,4,2.91666666666667,2.75
23,"F",21,2.3,2.91666666666667,3.25,2.375
45,"F",9,3.8,3,3.25,3.125
22,"F",28,2.8,4.08333333333333,2.33333333333333,4
23,"F",25,3.3,2.91666666666667,3.25,4
21,"M",29,4.8,3.5,2.5,2.25
21,"M",33,4,4.33333333333333,1.75,3.25
21,"F",33,4,4.25,2.25,3.625
21,"F",25,4.7,3.41666666666667,2.08333333333333,3.625
26,"F",18,2.3,3.08333333333333,2.83333333333333,2.5
25,"F",22,3.1,4.58333333333333,2.83333333333333,1.875
26,"F",17,2.7,3.41666666666667,2.41666666666667,2
21,"M",25,4.1,3.41666666666667,2.25,1.875
23,"F",28,3.4,3.41666666666667,2.83333333333333,4
22,"F",22,2.5,3.58333333333333,2.25,2.875
22,"F",26,2.1,1.58333333333333,1.83333333333333,3.875
22,"F",11,1.4,3.33333333333333,2.91666666666667,2.5
23,"F",29,1.9,4.33333333333333,2.91666666666667,2.75
22,"M",22,3.7,4.41666666666667,2.08333333333333,4.5
23,"M",21,3.2,4.83333333333333,2.33333333333333,3.375
24,"M",28,2.8,3.08333333333333,2.41666666666667,2.625
22,"F",33,4.1,3,2.75,4.125
23,"F",16,2.5,4.08333333333333,3.25,2.625
22,"M",31,2.8,4.08333333333333,1.75,2.25
20,"M",22,3.8,3.75,2.58333333333333,2.75
22,"M",31,3.1,3.08333333333333,3.33333333333333,3
21,"M",23,3.5,4.75,2.83333333333333,1.625
22,"F",26,3.6,4.25,2.5,1.875
23,"F",12,2.6,4.16666666666667,2.41666666666667,3.375
21,"M",26,4.4,4.41666666666667,2.41666666666667,3.75
22,"M",31,4.5,3.83333333333333,2.58333333333333,2.125
29,"M",19,3.2,3.33333333333333,3,2.375
29,"F",30,3.9,3.16666666666667,2,2.75
21,"F",12,2.5,3.16666666666667,3.41666666666667,3.125
28,"M",17,3.3,3.83333333333333,2.83333333333333,3.5
21,"F",18,3.3,4.25,2.25,2.625
30,"F",19,3,3.83333333333333,2.75,3.375
21,"F",21,2.9,3.66666666666667,3.91666666666667,2.25
23,"M",24,3.3,3.83333333333333,2.33333333333333,3
21,"F",28,3.3,3.83333333333333,2.75,4
21,"F",17,3.5,3.83333333333333,2.75,3.5
20,"F",18,3.6,3.66666666666667,2.91666666666667,2.625
22,"M",17,3.7,4.33333333333333,2.08333333333333,2.5
21,"M",23,4.2,3.75,3.66666666666667,3.75
21,"M",26,3.2,4.16666666666667,2.83333333333333,3.625
20,"F",28,5,4,3.41666666666667,4.125
22,"M",31,4.7,4,1.58333333333333,4.375
20,"F",27,3.6,4.58333333333333,2.91666666666667,2.625
20,"F",25,3.6,3.66666666666667,3,4
24,"M",23,2.9,3.66666666666667,2.91666666666667,2.75
20,"F",21,3.5,3.83333333333333,2.66666666666667,2.75
19,"F",27,4,2.58333333333333,3,1.375
21,"F",28,3.5,3.5,2.75,2.25
21,"F",23,3.2,3.08333333333333,3.08333333333333,3.625
22,"F",21,2.6,4.25,2.5,3.75
25,"F",25,2,3.16666666666667,2.33333333333333,4
21,"F",11,2.7,3.08333333333333,3,3.125
22,"F",19,3.2,4.16666666666667,3,3.25
25,"F",24,3.3,2.25,4,2.125
20,"F",28,3.9,3.33333333333333,3.25,2.875
24,"M",21,3.3,3.08333333333333,3.5,1.5
20,"F",24,3,2.75,3.5,2.5
21,"M",24,3.7,3.25,3.83333333333333,3.25
20,"F",20,2.5,4,2.91666666666667,3.625
20,"F",19,2.9,3.58333333333333,2.16666666666667,3.875
31,"M",30,3.9,4.08333333333333,1.66666666666667,3.875
20,"F",22,3.6,4.25,2.08333333333333,2.375
22,"F",16,2.9,3.41666666666667,2.83333333333333,3
22,"F",16,2.1,3.08333333333333,3.41666666666667,3.375
21,"M",19,3.1,3.5,3.33333333333333,2.75
22,"M",30,4,3.66666666666667,2.58333333333333,4.5
21,"F",23,3.1,4.25,2.83333333333333,2.625
21,"F",19,2.3,4.25,3.33333333333333,2.75
21,"F",18,2.8,3.83333333333333,3,3.25
21,"F",28,3.7,4.41666666666667,2.58333333333333,4.125
20,"F",21,2.6,3.5,2.41666666666667,3.375
21,"F",19,2.4,3.58333333333333,3.58333333333333,2.75
25,"F",27,3,3.66666666666667,2.08333333333333,4.125
21,"M",24,2.8,2.08333333333333,4.33333333333333,3.25
24,"F",21,2.9,4.25,2.66666666666667,2.875
20,"F",20,2.4,3.58333333333333,3,2.875
21,"M",28,3.1,4,2.66666666666667,2.375
20,"F",12,1.9,3.33333333333333,2.16666666666667,3.875
20,"F",21,2,3.5,2.66666666666667,2.125
18,"F",28,3.8,3.16666666666667,2.25,4
21,"F",31,3.4,3.58333333333333,2.66666666666667,3.25
19,"F",18,3.7,3.41666666666667,3.33333333333333,2.625
21,"F",25,2.9,4.25,3.5,2.75
20,"F",19,2.3,3.25,2.75,4
21,"M",21,4.1,4.41666666666667,2,3
20,"F",16,2.7,3.25,2.83333333333333,3.375
21,"F",7,3.5,3.91666666666667,3.5,3.875
20,"F",21,3.4,3.58333333333333,2.5,3.25
18,"F",17,3.2,4.5,3.16666666666667,3.375
22,"M",22,3.3,3.58333333333333,3.08333333333333,4.125
22,"F",18,3.3,3.66666666666667,2.91666666666667,3.5
24,"M",25,3.5,2.58333333333333,3.16666666666667,2
19,"F",24,3.2,4.16666666666667,2.5,3.625
20,"F",23,3.1,3.25,3.83333333333333,3.375
20,"F",23,2.8,4.33333333333333,2.25,2.125
17,"F",26,1.7,3.91666666666667,3.41666666666667,4.625
19,"M",12,1.9,2.66666666666667,3.75,2.5
20,"F",32,3.5,3.08333333333333,3,2.875
20,"F",22,2.4,3.75,2.58333333333333,2.75
20,"F",20,2.1,4.16666666666667,3.33333333333333,4
20,"F",21,2.9,4.16666666666667,2.83333333333333,2.375
19,"F",23,1.9,3.25,3,3.875
19,"F",20,2,4.08333333333333,2.83333333333333,3.375
22,"F",28,4.2,2.91666666666667,3.16666666666667,1.75
35,"M",31,4.1,3.83333333333333,2.75,3
18,"F",18,3.7,3.16666666666667,3.41666666666667,2.625
19,"F",30,3.6,3.41666666666667,3,2.625
21,"M",19,1.8,4.08333333333333,2.66666666666667,3.375
